Posting Date,Value Date,Description,Debits,Credits,Balance,,
20-01-2021,20-01-2021, NAPS RBX_SSQ66100G29-_NAPS_9100795196350 IDEJO N-10079519635/CoInsurance:CITI:: -TR:,,1927289.79,1927289.79,,
20-01-2021,20-01-2021, NAPS RBX_OYA66513URF-_NAPS_9100795196360 IDEJO N-10079519636/CoInsurance:CITI:: -TR:,,4508365.80,6435655.59,,
20-01-2021,20-01-2021, NAPS RBX_95H67079QGR-_NAPS_9100795196460 IDEJO N-10079519646/CoInsurance:CITI:: -TR:,,1067016.40,7502671.99,,
20-01-2021,20-01-2021, 000002312221 NG1RTGX210200427 COINSURANCE IDEJO LEADWAY ASSURANCE COMPANY LIMITED CITINGLA,,114682328.65,122185000.64,,
20-01-2021,20-01-2021, NAPS RBX_FCT2349804E-_NAPS_9100795278680 IDEJO N-10079527868/CoInsurance:CITI:: -TR:,,935229.53,123120230.17,,
20-01-2021,20-01-2021, NAPS RBX_7P5360843V7-_NAPS_9100795355170 IDEJO N-10079535517/CoInsurance:CITI:: -TR:,,20138496.52,143258726.69,,
05-02-2021,05-02-2021, 01170257-05-FEB-21-3  IDEJO CHRG FOR RTGS TRF IFO TISRT TRUSTEES/SIBTC BOND/UB,1021.25,,143257705.44,,
05-02-2021,05-02-2021, 01170257-05-FEB-21-1  IDEJO RTGS TRF IFO UBA NOM FIRST TRUSTEES SIBTC BOND/UBA,143000000,,257705.44,,
10-02-2021,10-02-2021, NAPS RBX_5PB76673H6R-_NAPS_9100810269600 IDEJO N-10081026960/CoInsurance:CITI:: -TR:,,1017803.00,1275508.44,,
24-02-2021,23-02-2021, 000013210223185226000011590457 RBX_-AXA MANSARD INSURANCE PLC IDEJO PVN46677E BEING PREMIUM DUE TO STANBIC IBTC INSURA,,3763555.35,5039063.79,,
02-03-2021,02-03-2021, NAPS RBX_FCO7016613N-_NAPS_9100823463950 IDEJO N-10082346395/CoInsurance:CITI:: -TR:,,61100.09,5100163.88,,
26-03-2021,26-03-2021, NAPS RBX_7W634006PHL-_NAPS_9100838488160 IDEJO N-10083848816/CoInsurance:CITI:: -TR:,,261942.85,5362106.73,,
07-04-2021,07-04-2021, NAPS RBX_7C804547ODK-_NAPS_9100849824430 IDEJO N-10084982443/CoInsurance:CITI:: -TR:,,184112.28,5546219.01,,
30-04-2021,30-04-2021," 01424832-30-APR-21-1  IDEJO REFUND N5,546,219.01FROM SIIL ANNUITY ACCOUNT TO S",5546219.01,,0.00,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-31  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,244.65,244.65,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-33  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,1050.00,1294.65,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-38  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,3391.32,4685.97,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-37  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,3202.89,7888.86,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-36  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,486.99,8375.85,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-35  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,2980.20,11356.05,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-34  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,2240.14,13596.19,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-32  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,233.53,13829.72,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-40  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,59.61,13889.33,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-41  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,522.99,14412.32,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-42  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,154.00,14566.32,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-39  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,781.44,15347.76,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-45  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,626.50,15974.26,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-46  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,609.70,16583.96,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-43  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,573.31,17157.27,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-44  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,439.26,17596.53,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-47  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,432.31,18028.84,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-51  IDEJO APRIL 2021 EZ CASH PREMIUM,,5413794.98,5431823.82,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-49  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,549.20,5432373.02,,
18-05-2021,18-05-2021, S74914945-18-MAY-21-48  IDEJO APRIL 2021 EZ CASH PREMIUM {UNSWEPT},,1253.22,5433626.24,,
